GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
101929536	LOC101929536	uncharacterized LOC101929536	0.627	1.818
107985740	LINC02811	long intergenic non-protein coding RNA 2811	0.473	1.625
54802	TRIT1	tRNA isopentenyltransferase 1	0.273	2.644
4610	MYCL	MYCL proto-oncogene, bHLH transcription factor	0.952	4.827
105378668	MYCL-AS1	MYCL antisense RNA 1	0.699	2.188
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	-0.265	1.899
5538	PPT1	palmitoyl-protein thioesterase 1	-0.217	1.47
6018	RLF	RLF zinc finger	-0.667	2.847
1298	COL9A2	collagen type IX alpha 2 chain	0.72	3.336
64744	SMAP2	small ArfGAP2	-0.79	3.888
65243	ZFP69B	ZFP69 zinc finger protein B	-0.863	10.698
127396	ZNF684	zinc finger protein 684	0.307	1.711
100130557	NFYC-AS1	NFYC antisense RNA 1	0.348	1.864
4802	NFYC	nuclear transcription factor Y subunit gamma	0.365	6.143
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4	0.765	4.646
1503	CTPS1	CTP synthase 1	-0.419	3.742
22955	SCMH1	Scm polycomb group protein homolog 1	0.212	3.098
59269	HIVEP3	HIVEP zinc finger 3	-0.895	5.951
2981	GUCA2B	guanylate cyclase activator 2B	4.274	16.137
2980	GUCA2A	guanylate cyclase activator 2A	4.255	17.754
284716	RIMKLA	ribosomal modification protein rimK like family member A	1.55	7.903
84217	ZMYND12	zinc finger MYND-type containing 12	0.528	2.666
79717	PPCS	phosphopantothenoylcysteine synthetase	0.425	3.126
10465	PPIH	peptidylprolyl isomerase H	0.371	2.732
64175	P3H1	prolyl 3-hydroxylase 1	-1.171	12.578
79078	C1orf50	chromosome 1 open reading frame 50	0.387	4.389
114625	ERMAP	erythroblast membrane associated protein (Scianna blood group)	0.426	5.488
440585	FAM183A	family with sequence similarity 183 member A	2.036	7.114
128218	TMEM125	transmembrane protein 125	1.33	4.694
149466	C1orf210	chromosome 1 open reading frame 210	1.516	5.015
7075	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	-1.704	9.688
4352	MPL	MPL proto-oncogene, thrombopoietin receptor	1.058	7.084
105378687	CDC20-DT	CDC20 divergent transcript	1.064	5.241
64834	ELOVL1	ELOVL fatty acid elongase 1	0.391	2.054
81888	HYI	hydroxypyruvate isomerase (putative)	0.639	3.767
5792	PTPRF	protein tyrosine phosphatase receptor type F	1.235	5.379
9682	KDM4A	lysine demethylase 4A	0.417	3.846
100132774	KDM4A-AS1	KDM4A antisense RNA 1	0.419	4.125
105378688	LINC02918	long intergenic non-protein coding RNA 2918	0.598	2.47
149473	CCDC24	coiled-coil domain containing 24	1.091	5.851
6536	SLC6A9	solute carrier family 6 member 9	0.452	1.37
55929	DMAP1	DNA methyltransferase 1 associated protein 1	0.731	4.999
79033	ERI3	ERI1 exoribonuclease family member 3	0.539	3.3
55182	RNF220	ring finger protein 220	0.246	2.447
79639	TMEM53	transmembrane protein 53	0.714	3.097
6202	RPS8	ribosomal protein S8	0.454	2.39
266675	BEST4	bestrophin 4	2.632	9.243
343521	DYNLT4	dynein light chain Tctex-type 4	-0.545	1.311
149478	BTBD19	BTB domain containing 19	-0.643	1.934
79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3	0.564	3.745
57643	ZSWIM5	zinc finger SWIM-type containing 5	1.024	6.743
105378691	LOC105378691	uncharacterized LOC105378691	0.714	4.463
400752	LINC01144	long intergenic non-protein coding RNA 1144	0.735	4.4
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	0.601	1.981
4595	MUTYH	mutY DNA glycosylase	0.377	3.975
10420	TESK2	testis associated actin remodelling kinase 2	0.276	2.435
126661	CCDC163	CCDC163 homolog	-0.752	4.186
60313	GPBP1L1	GC-rich promoter binding protein 1 like 1	0.33	2.527
3652	IPP	intracisternal A particle-promoted polypeptide	0.412	4.496
23139	MAST2	microtubule associated serine/threonine kinase 2	0.724	6.901
110117499	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough	-1.64	14.174
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-1.672	13.279
10103	TSPAN1	tetraspanin 1	1.187	2.463
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	0.424	5.097
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	0.667	3.745
2166	FAAH	fatty acid amide hydrolase	1.374	6.369
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	0.765	3.431
64756	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	0.676	9.623
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	-0.723	2.206
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	-0.854	2.749
102724077	LINC01389	long intergenic non-protein coding RNA 1389	1.273	5.784
84793	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1	0.94	2.681
2306	FOXD2	forkhead box D2	1.141	2.625
107984953	LINC01738	long intergenic non-protein coding RNA 1738	1.058	1.826
388630	TRABD2B	TraB domain containing 2B	-0.532	1.585
11124	FAF1	Fas associated factor 1	0.278	3.893
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	-0.365	2.632
22996	TTC39A	tetratricopeptide repeat domain 39A	0.833	2.383
2060	EPS15	epidermal growth factor receptor pathway substrate 15	-0.281	1.491
105378720	EPS15-AS1	EPS15 antisense RNA 1	1.056	5.816
441884	CALR4P	calreticulin 4, pseudogene	1.203	3.835
114883	OSBPL9	oxysterol binding protein like 9	-0.34	3.585
4898	NRDC	nardilysin convertase	-0.366	11.007
105378721	LOC105378721		-0.327	4.986
100313892	MIR761	microRNA 761	-0.485	1.878
112970	KTI12	KTI12 chromatin associated homolog	-0.287	2.093
91408	BTF3L4	basic transcription factor 3 like 4	-0.286	3.634
9372	ZFYVE9	zinc finger FYVE-type containing 9	0.191	1.661
84950	PRPF38A	pre-mRNA processing factor 38A	0.405	7.459
23318	TUT4	terminal uridylyl transferase 4	-0.467	1.777
2882	GPX7	glutathione peroxidase 7	-1.448	11.25
65260	COA7	cytochrome c oxidase assembly factor 7	0.341	1.833
79699	ZYG11B	zyg-11 family member B, cell cycle regulator	-0.279	1.633
440590	ZYG11A	zyg-11 family member A, cell cycle regulator	-1.669	6.922
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	0.941	12.273
6342	SCP2	sterol carrier protein 2	0.429	2.077
6512	SLC1A7	solute carrier family 1 member 7	0.664	2.166
1376	CPT2	carnitine palmitoyltransferase 2	1.187	8.24
7804	LRP8	LDL receptor related protein 8	-1.279	8.606
105378726	LOC105378726	uncharacterized LOC105378726	-0.846	2.765
9528	TMEM59	transmembrane protein 59	0.528	4.074
127428	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	0.211	1.648
606495	CYB5RL	cytochrome b5 reductase like	0.383	3.963
51253	MRPL37	mitochondrial ribosomal protein L37	0.503	2.512
23648	SSBP3	single stranded DNA binding protein 3	0.302	3.17
26027	ACOT11	acyl-CoA thioesterase 11	1.216	5.279
338094	FAM151A	family with sequence similarity 151 member A	1.416	5.535
100527960	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)	0.847	10.004
374977	MROH7	maestro heat like repeat family member 7	1.722	12.027
