GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
7268	TTC4	tetratricopeptide repeat domain 4	0.373	4.043
25973	PARS2	prolyl-tRNA synthetase 2, mitochondrial	0.841	4.26
55001	TTC22	tetratricopeptide repeat domain 22	1.197	5.676
163747	LEXM	lymphocyte expansion molecule	0.861	3.452
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	-1.231	2.682
1600	DAB1	DAB adaptor protein 1	-0.866	1.727
115209	OMA1	OMA1 zinc metallopeptidase	0.28	1.952
105378751	LOC105378751	uncharacterized LOC105378751	-1.298	4.022
101926907	LOC101926907	uncharacterized LOC101926907	0.542	3.465
105378753	LINC02777	long intergenic non-protein coding RNA 2777	0.696	4.065
55277	FGGY	FGGY carbohydrate kinase domain containing	0.619	5.989
51361	HOOK1	hook microtubule tethering protein 1	0.577	1.599
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	1.427	4.83
105378763	LINC01748	long intergenic non-protein coding RNA 1748	0.926	1.857
10207	PATJ	PATJ crumbs cell polarity complex component	0.896	5.504
163782	KANK4	KN motif and ankyrin repeat domains 4	1.694	9.445
84938	ATG4C	autophagy related 4C cysteine peptidase	-0.309	2.33
100996301	FOXD3-AS1	FOXD3 antisense RNA 1	-0.661	1.63
27022	FOXD3	forkhead box D3	-1.2	3.798
29929	ALG6	ALG6 alpha-1,3-glucosyltransferase	0.179	1.632
84455	EFCAB7	EF-hand calcium binding domain 7	-0.302	1.803
5236	PGM1	phosphoglucomutase 1	0.956	6.74
57685	CACHD1	cache domain containing 1	-0.762	3.073
55225	RAVER2	ribonucleoprotein, PTB binding 2	0.842	7.71
3716	JAK1	Janus kinase 1	-0.747	6.838
54741	LEPROT	leptin receptor overlapping transcript	-0.471	4.855
5142	PDE4B	phosphodiesterase 4B	-1.201	4.006
84251	SGIP1	SH3GL interacting endocytic adaptor 1	-2.217	12.167
200132	DYNLT5	dynein light chain Tctex-type family member 5	-1.076	4.024
10022	INSL5	insulin like 5	3.985	9.177
79819	DNAI4	dynein axonemal intermediate chain 4	1.411	9.31
23169	SLC35D1	solute carrier family 35 member D1	0.482	1.485
3595	IL12RB2	interleukin 12 receptor subunit beta 2	-1.058	4.954
1647	GADD45A	growth arrest and DNA damage inducible alpha	-0.45	1.504
9077	DIRAS3	DIRAS family GTPase 3	-0.441	1.726
55631	LRRC40	leucine rich repeat containing 40	-0.368	1.381
9295	SRSF11	serine and arginine rich splicing factor 11	-0.465	3.066
204962	SLC44A5	solute carrier family 44 member 5	1.022	1.903
34	ACADM	acyl-CoA dehydrogenase medium chain	0.418	1.877
692085	SNORD45C	small nucleolar RNA, C/D box 45C	-0.936	2.786
26805	SNORD45A	small nucleolar RNA, C/D box 45A	-0.683	1.46
256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	-0.804	5.428
81849	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	-0.658	1.408
10026	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	-0.486	3.832
23032	USP33	ubiquitin specific peptidase 33	-0.218	1.423
374987	NEXN-AS1	NEXN antisense RNA 1	-1.202	4.63
91624	NEXN	nexilin F-actin binding protein	-0.425	1.897
8880	FUBP1	far upstream element binding protein 1	-0.256	1.705
11080	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	-0.929	4.161
54810	GIPC2	GIPC PDZ domain containing family member 2	0.81	4.502
5737	PTGFR	prostaglandin F receptor	-1.729	7.298
10964	IFI44L	interferon induced protein 44 like	-1.371	4.47
10561	IFI44	interferon induced protein 44	-1.004	3.854
64123	ADGRL4	adhesion G protein-coupled receptor L4	-2.009	13.487
23266	ADGRL2	adhesion G protein-coupled receptor L2	-1.431	7.259
5567	PRKACB	protein kinase cAMP-activated catalytic subunit beta	0.429	1.848
148418	SAMD13	sterile alpha motif domain containing 13	1.554	7.212
58511	DNASE2B	deoxyribonuclease 2 beta	1.345	5.418
100505741	SPATA1	spermatogenesis associated 1	-0.281	1.495
1486	CTBS	chitobiase	-0.459	4.039
105378819	LOC105378819	uncharacterized LOC105378819	-0.711	3.737
255231	MCOLN2	mucolipin TRP cation channel 2	0.677	2.403
55283	MCOLN3	mucolipin TRP cation channel 3	0.927	3.79
148423	C1orf52	chromosome 1 open reading frame 52	-0.275	2.009
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	0.654	3.3
107985054	LOC107985054		-1.403	3.947
3491	CCN1	cellular communication network factor 1	-1.113	4.106
57489	ODF2L	outer dense fiber of sperm tails 2 like	-0.536	5.046
1179	CLCA1	chloride channel accessory 1	1.323	2.776
105378827	LOC105378827	uncharacterized LOC105378827	2.139	5.835
51100	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	-0.319	3.372
9403	SELENOF	selenoprotein F	-0.211	1.851
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-0.383	3.234
8543	LMO4	LIM domain only 4	-0.594	6.449
494115	RBMXL1	RBMX like 1	-0.323	2.493
105378841	LOC105378841	uncharacterized LOC105378841	-1.456	5.967
2633	GBP1	guanylate binding protein 1	-2.149	15.63
2634	GBP2	guanylate binding protein 2	-1.226	10.637
112268267	LOC112268267	uncharacterized LOC112268267	-1.821	10.984
115361	GBP4	guanylate binding protein 4	-1.829	11.111
115362	GBP5	guanylate binding protein 5	-2.77	19.339
400759	GBP1P1	guanylate binding protein 1 pseudogene 1	-2.37	13.323
23507	LRRC8B	leucine rich repeat containing 8 VRAC subunit B	-0.404	2.562
84230	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	-1.419	7.818
400761	LRRC8C-DT	LRRC8C divergent transcript	-0.763	2.697
105378849	LOC105378849	uncharacterized LOC105378849	2.025	6.235
107985088	LOC107985088	uncharacterized LOC107985088	2.241	6.222
8317	CDC7	cell division cycle 7	-0.363	1.893
253152	EPHX4	epoxide hydrolase 4	-1.814	11.329
79871	RPAP2	RNA polymerase II associated protein 2	-0.205	1.452
6125	RPL5	ribosomal protein L5	0.374	2.687
388650	DIPK1A	divergent protein kinase domain 1A	-0.377	3.346
50999	TMED5	transmembrane p24 trafficking protein 5	-0.454	3.533
1810	DR1	down-regulator of transcription 1	-0.254	2.25
8412	BCAR3	BCAR3 adaptor protein, NSP family member	0.4	2.522
30836	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	-0.248	1.455
2730	GCLM	glutamate-cysteine ligase modifier subunit	-0.392	1.589
9411	ARHGAP29	Rho GTPase activating protein 29	-1.5	5.63
5825	ABCD3	ATP binding cassette subfamily D member 3	0.527	2.477
2152	F3	coagulation factor III, tissue factor	-1.106	6.989
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	0.756	4.886
126969	SLC44A3	solute carrier family 44 member 3	1.246	6.439
1266	CNN3	calponin 3	-0.741	7.27
148534	TLCD4	TLC domain containing 4	0.818	3.567
25950	RWDD3	RWD domain containing 3	0.295	2.64
58155	PTBP2	polypyrimidine tract binding protein 2	-0.508	3.063
1806	DPYD	dihydropyrimidine dehydrogenase	-1.026	5.127
100873932	DPYD-AS1	DPYD antisense RNA 1	-0.929	3.306
51375	SNX7	sorting nexin 7	0.766	5.45
9890	PLPPR4	phospholipid phosphatase related 4	-1.076	3.152
54873	PALMD	palmdelphin	-1.673	7.633
391059	FRRS1	ferric chelate reductase 1	0.738	3.842
23443	SLC35A3	solute carrier family 35 member A3	0.56	2.041
64645	MFSD14A	major facilitator superfamily domain containing 14A	-0.705	4.155
163786	SASS6	SAS-6 centriolar assembly protein	-0.366	2.699
1629	DBT	dihydrolipoamide branched chain transacylase E2	0.229	1.303
7412	VCAM1	vascular cell adhesion molecule 1	-1.264	5.92
2135	EXTL2	exostosin like glycosyltransferase 2	-0.388	3.178
148867	SLC30A7	solute carrier family 30 member 7	-0.733	6.013
51611	DPH5	diphthamide biosynthesis 5	-0.198	2.471
101928334	LOC101928334	uncharacterized LOC101928334	-1.893	7.939
101928370	S1PR1-DT	S1PR1 divergent transcript	-1.801	8.629
1901	S1PR1	sphingosine-1-phosphate receptor 1	-1.506	6.944
1301	COL11A1	collagen type XI alpha 1 chain	-1.949	8.451
280	AMY2B	amylase alpha 2B	0.603	5.633
279	AMY2A	amylase alpha 2A	0.527	3.883
276	AMY1A	amylase alpha 1A	0.804	4.725
277	AMY1B	amylase alpha 1B	0.806	4.781
278	AMY1C	amylase alpha 1C	0.796	4.694
10451	VAV3	vav guanine nucleotide exchange factor 3	1.112	5.913
113802	HENMT1	HEN methyltransferase 1	0.383	2.924
55119	PRPF38B	pre-mRNA processing factor 38B	-0.221	1.629
22911	WDR47	WD repeat domain 47	-0.606	2.641
6884	TAF13	TATA-box binding protein associated factor 13	-0.485	2.445
677766	SCARNA2	small Cajal body-specific RNA 2	1.456	4.688
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	0.817	2.419
6301	SARS1	seryl-tRNA synthetase 1	0.259	1.916
6272	SORT1	sortilin 1	0.251	1.308
284612	SYPL2	synaptophysin like 2	-1.001	3.583
127002	ATXN7L2	ataxin 7 like 2	-0.577	4.419
284613	CYB561D1	cytochrome b561 family member D1	0.308	2.06
57463	AMIGO1	adhesion molecule with Ig like domain 1	0.386	1.694
2773	GNAI3	G protein subunit alpha i3	-0.312	2.782
271	AMPD2	adenosine monophosphate deaminase 2	-0.398	3.834
2948	GSTM4	glutathione S-transferase mu 4	1.032	9.416
2946	GSTM2	glutathione S-transferase mu 2	0.659	3.422
2944	GSTM1	glutathione S-transferase mu 1	1.034	3.463
2949	GSTM5	glutathione S-transferase mu 5	0.606	1.774
2947	GSTM3	glutathione S-transferase mu 3	0.504	2.201
79574	EPS8L3	EPS8 like 3	1.186	3.428
1435	CSF1	colony stimulating factor 1	-0.5	1.727
64783	RBM15	RNA binding motif protein 15	-0.307	2.176
9122	SLC16A4	solute carrier family 16 member 4	-1.293	6.707
101410535	LAMTOR5-AS1	LAMTOR5 antisense RNA 1	0.57	2.45
3737	KCNA2	potassium voltage-gated channel subfamily A member 2	-0.988	3.879
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	-1.422	5.902
963	CD53	CD53 molecule	-0.66	1.61
55791	LRIF1	ligand dependent nuclear receptor interacting factor 1	-0.352	1.946
1117	CHI3L2	chitinase 3 like 2	-3.409	13.874
128344	PIFO	primary cilia formation	-0.665	1.992
79084	WDR77	WD repeat domain 77	0.284	1.853
515	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	0.708	4.819
128346	C1orf162	chromosome 1 open reading frame 162	-0.344	1.717
57413	TMIGD3	transmembrane and immunoglobulin domain containing 3	-1.387	4.929
5906	RAP1A	RAP1A, member of RAS oncogene family	-0.286	2.54
107985184	LOC107985184	uncharacterized LOC107985184	-0.543	2.641
55924	INKA2	inka box actin regulator 2	-0.793	4.676
3752	KCND3	potassium voltage-gated channel subfamily D member 3	-1.278	5.862
643355	LINC01750	long intergenic non-protein coding RNA 1750	-0.876	2.909
55917	CTTNBP2NL	CTTNBP2 N-terminal like	-0.292	1.894
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	-0.347	2.764
100996702	LINC01356	long intergenic non-protein coding RNA 1356	0.583	1.353
6566	SLC16A1	solute carrier family 16 member 1	0.961	4.712
100506392	SLC16A1-AS1	SLC16A1 antisense RNA 1	-0.737	4.147
9860	LRIG2	leucine rich repeats and immunoglobulin like domains 2	0.309	3.039
260425	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	0.502	1.843
10745	PHTF1	putative homeodomain transcription factor 1	-0.889	13.279
440603	BCL2L15	BCL2 like 15	1.096	3.041
10717	AP4B1	adaptor related protein complex 4 subunit beta 1	0.364	3.322
64858	DCLRE1B	DNA cross-link repair 1B	-0.48	4.345
204851	HIPK1	homeodomain interacting protein kinase 1	-0.57	2.068
270	AMPD1	adenosine monophosphate deaminase 1	1.485	7.926
10100	TSPAN2	tetraspanin 2	-0.872	3
55356	SLC22A15	solute carrier family 22 member 15	-0.58	2.75
126868	MAB21L3	mab-21 like 3	0.84	1.792
105378918	LOC105378918	uncharacterized LOC105378918	2.215	6.614
105378920	LOC105378920	uncharacterized LOC105378920	1.862	7.267
476	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	0.705	4.069
84852	ATP1A1-AS1	ATP1A1 antisense RNA 1	0.788	4.671
3321	IGSF3	immunoglobulin superfamily member 3	0.772	3.375
914	CD2	CD2 molecule	-0.634	1.763
9398	CD101	CD101 molecule	0.397	4.109
101929099	CD101-AS1	CD101 antisense RNA 1	0.642	4.544
80263	TRIM45	tripartite motif containing 45	0.457	3.642
10905	MAN1A2	mannosidase alpha class 1A member 2	-0.608	4.651
54855	TENT5C	terminal nucleotidyltransferase 5C	-0.804	4.577
101929147	WARS2-AS1	WARS2 antisense RNA 1	0.52	4.663
3284	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	3.083	4.878
644242	LINC00622	long intergenic non-protein coding RNA 622	-0.69	2.27
90874	ZNF697	zinc finger protein 697	-0.917	8.256
26227	PHGDH	phosphoglycerate dehydrogenase	-0.552	1.879
105378936	LOC105378936	replaced by ID 26227	-0.703	2.009
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	2.741	9.333
83998	REG4	regenerating family member 4	-1.889	4.653
9554	SEC22B	SEC22 homolog B, vesicle trafficking protein	-0.404	4.296
728841	NBPF8	NBPF member 8	-0.381	1.992
767846	PFN1P2	profilin 1 pseudogene 2	-0.607	2.578
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	-0.555	2.937
107985524	LOC107985524	uncharacterized LOC107985524	-0.457	1.937
101954264	RNVU1-4	RNA, variant U1 small nuclear 4	0.749	1.501
106479023	H3P4	H3 histone pseudogene 4	-0.929	3.424
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	-2.382	13.666
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	-1.035	5.365
107985193	LOC107985193	uncharacterized LOC107985193	-0.757	1.741
338391	H2BP2	H2B histone pseudogene 2	-1.377	5.275
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	-2.459	14.993
440686	H3-7	H3.7 histone (putative)	-1.036	6.496
100996712	SRGAP2D	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)	-1.216	6.094
284565	NBPF15	NBPF member 15	-0.434	2.737
647135	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	-1.099	5.463
105371312	LOC105371312	uncharacterized LOC105371312	-0.773	3.359
101929780	NBPF25P	NBPF member 25, pseudogene	0.201	1.505
5174	PDZK1	PDZ domain containing 1	0.978	3.883
11126	CD160	CD160 molecule	1.004	6.894
10623	POLR3C	RNA polymerase III subunit C	0.141	1.82
10401	PIAS3	protein inhibitor of activated STAT 3	-0.549	4.756
8515	ITGA10	integrin subunit alpha 10	-1.407	9.568
8799	PEX11B	peroxisomal biogenesis factor 11 beta	0.306	2.215
105371260	LIX1L-AS1	LIX1L antisense RNA 1	-0.187	1.466
128077	LIX1L	limb and CNS expressed 1 like	-0.661	3.077
284615	ANKRD34A	ankyrin repeat domain 34A	-0.726	3.324
388677	NOTCH2NLA	notch 2 N-terminal like A	0.284	1.858
102724364	SEC22B4P	SEC22 homolog B4, pseudogene	-0.2	1.421
2330	FMO5	flavin containing dimethylaniline monoxygenase 5	1.074	7.402
51205	ACP6	acid phosphatase 6, lysophosphatidic	0.557	4.722
2702	GJA5	gap junction protein alpha 5	-1.25	4.185
100034743	PDZK1P1	PDZ domain containing 1 pseudogene 1	0.74	2.382
25832	NBPF14	NBPF member 14	0.209	1.314
100996763	NOTCH2NLB	notch 2 N-terminal like B	0.343	2.093
100996517	SEC22B3P	SEC22 homolog B3, pseudogene	-0.274	2.239
9659	PDE4DIP	phosphodiesterase 4D interacting protein	-0.421	5.083
653513	LOC653513	phosphodiesterase 4D interacting protein-like	-0.885	3.921
100996716	SEC22B2P	SEC22 homolog B2, pseudogene	-0.32	2.49
100996717	NOTCH2NLC	notch 2 N-terminal like C	0.324	2.474
57234	LINC00869	long intergenic non-protein coding RNA 869	0.42	2.892
2209	FCGR1A	Fc gamma receptor Ia	-2.286	13.781
440689	H2BC18	H2B clustered histone 18	-1.228	5.137
8337	H2AC18	H2A clustered histone 18	-0.747	2.912
723790	H2AC19	H2A clustered histone 19	-0.739	2.877
8349	H2BC21	H2B clustered histone 21	-0.729	5.409
8338	H2AC20	H2A clustered histone 20	-0.679	1.878
51027	BOLA1	bolA family member 1	0.378	1.865
9900	SV2A	synaptic vesicle glycoprotein 2A	-0.674	2.817
10262	SF3B4	splicing factor 3b subunit 4	0.473	4.211
10903	MTMR11	myotubularin related protein 11	1.446	9.874
51177	PLEKHO1	pleckstrin homology domain containing O1	-0.539	1.64
81611	ANP32E	acidic nuclear phosphoprotein 32 family member E	-0.432	2.283
23632	CA14	carbonic anhydrase 14	0.763	5.36
51107	APH1A	aph-1 homolog A, gamma-secretase subunit	0.368	3.28
79630	C1orf54	chromosome 1 open reading frame 54	-0.673	2.963
148523	CIART	circadian associated repressor of transcription	-1.231	7.701
80222	TARS2	threonyl-tRNA synthetase 2, mitochondrial	0.473	5.897
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	-0.44	1.731
2029	ENSA	endosulfine alpha	0.236	1.807
55204	GOLPH3L	golgi phosphoprotein 3 like	0.626	4.503
1513	CTSK	cathepsin K	-1.394	9.207
9869	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	0.156	1.991
8416	ANXA9	annexin A9	0.746	5.62
55793	MINDY1	MINDY lysine 48 deubiquitinase 1	0.4	3.63
58497	PRUNE1	prune exopolyphosphatase 1	0.204	2.604
149428	BNIPL	BCL2 interacting protein like	0.428	1.597
56882	CDC42SE1	CDC42 small effector 1	-0.329	1.8
126626	GABPB2	GA binding protein transcription factor subunit beta 2	0.374	4.136
29765	TMOD4	tropomodulin 4	0.85	5.085
6944	VPS72	vacuolar protein sorting 72 homolog	0.238	1.423
57592	ZNF687	zinc finger protein 687	0.198	2.519
5298	PI4KB	phosphatidylinositol 4-kinase beta	0.161	2.128
5993	RFX5	regulatory factor X5	-0.43	2.86
101927886	RFX5-AS1	RFX5 antisense RNA 1	-0.634	2
8991	SELENBP1	selenium binding protein 1	2.412	11.47
57530	CGN	cingulin	1.471	5.574
7286	TUFT1	tuftelin 1	1.023	5.521
51686	OAZ3	ornithine decarboxylase antizyme 3	-0.187	1.501
6097	RORC	RAR related orphan receptor C	1.429	10.392
100191040	C2CD4D	C2 calcium dependent domain containing 4D	0.812	3.088
6281	S100A10	S100 calcium binding protein A10	0.717	3.019
6282	S100A11	S100 calcium binding protein A11	-0.629	3.036
388697	HRNR	hornerin	-0.89	2.078
2312	FLG	filaggrin	-0.909	1.685
6280	S100A9	S100 calcium binding protein A9	-4.239	21.548
6283	S100A12	S100 calcium binding protein A12	-5.381	25.712
6279	S100A8	S100 calcium binding protein A8	-4.841	25.874
6275	S100A4	S100 calcium binding protein A4	-0.582	1.671
101928034	LOC101928034	uncharacterized LOC101928034	-0.784	3.334
6274	S100A3	S100 calcium binding protein A3	-2.46	17.175
140576	S100A16	S100 calcium binding protein A16	0.475	1.342
57402	S100A14	S100 calcium binding protein A14	1.201	3.156
26097	CHTOP	chromatin target of PRMT1	0.208	1.748
4881	NPR1	natriuretic peptide receptor 1	-1.221	5.365
27173	SLC39A1	solute carrier family 39 member 1	-0.384	5.09
148327	CREB3L4	cAMP responsive element binding protein 3 like 4	0.508	2.595
10899	JTB	jumping translocation breakpoint	0.33	1.578
5872	RAB13	RAB13, member RAS oncogene family	-0.68	6.793
6232	RPS27	ribosomal protein S27	0.495	1.941
9898	UBAP2L	ubiquitin associated protein 2 like	-0.167	2.241
57198	ATP8B2	ATPase phospholipid transporting 8B2	-1.068	5.058
126669	SHE	Src homology 2 domain containing E	-0.579	4.207
126668	TDRD10	tudor domain containing 10	-0.634	2.163
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	-0.226	3.522
103	ADAR	adenosine deaminase RNA specific	-0.486	4.355
3782	KCNN3	potassium calcium-activated channel subfamily N member 3	-1.172	4.244
10654	PMVK	phosphomevalonate kinase	0.674	3.676
90780	PYGO2	pygopus family PHD finger 2	0.304	3.663
6464	SHC1	SHC adaptor protein 1	-0.735	13.322
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	0.416	1.705
80308	FLAD1	flavin adenine dinucleotide synthetase 1	0.362	2.503
51043	ZBTB7B	zinc finger and BTB domain containing 7B	0.948	6.582
127579	DCST2	DC-STAMP domain containing 2	1.003	6.883
149095	DCST1	DC-STAMP domain containing 1	0.581	2.81
100505666	DCST1-AS1	DCST1 antisense RNA 1	0.699	3.784
1945	EFNA4	ephrin A4	1.053	5.692
1944	EFNA3	ephrin A3	0.929	3.183
1942	EFNA1	ephrin A1	0.861	3.883
54344	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory	0.619	2.025
4580	MTX1	metaxin 1	0.37	1.829
57657	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.636	3.077
5313	PKLR	pyruvate kinase L/R	1.426	9.348
23623	RUSC1	RUN and SH3 domain containing 1	0.438	3.199
101929703	LOC101929703	uncharacterized LOC101929703	0.832	4.187
105371452	LOC105371452	uncharacterized LOC105371452	-0.359	2.864
55154	MSTO1	misato mitochondrial distribution and morphology regulator 1	-0.257	2.06
55249	YY1AP1	YY1 associated protein 1	0.161	1.389
100505728	LOC100505728	uncharacterized LOC100505728	-0.496	6.491
100129405	MSTO2P	misato family member 2, pseudogene	-0.244	2.205
23208	SYT11	synaptotagmin 11	-0.796	2.972
6016	RIT1	Ras like without CAAX 1	-0.496	5.34
339403	RXFP4	relaxin family peptide/INSL5 receptor 4	1.187	3.946
107985210	ARHGEF2-AS1	ARHGEF2 antisense RNA 1	0.978	2.393
107985208	LOC107985208		0.948	2.221
28956	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	0.529	1.967
57111	RAB25	RAB25, member RAS oncogene family	1.153	3.15
92312	MEX3A	mex-3 RNA binding family member A	-0.363	2.537
64218	SEMA4A	semaphorin 4A	-0.479	1.427
100527963	PMF1-BGLAP	PMF1-BGLAP readthrough	0.359	2.739
11243	PMF1	polyamine modulated factor 1	0.45	2.702
632	BGLAP	bone gamma-carboxyglutamate protein	0.845	3.283
84283	TMEM79	transmembrane protein 79	0.336	2.018
128240	NAXE	NAD(P)HX epimerase	0.548	3.202
105371453	BCAN-AS1	BCAN antisense RNA 1	0.458	1.468
10763	NES	nestin	-0.563	1.652
1382	CRABP2	cellular retinoic acid binding protein 2	-1.306	6.766
